Altium Designer Pick and Place Locations
C:\Altium_Projects\New_Projects\STM32_Custom_PCB\Project Outputs for 23095027_BRIJESH_AHIRWAR_EC373\Pick Place for 23095027_BRIJESH_AHIRWAR_EC373.csv

========================================================================================================================
File Design Information:

Date:       27-10-25
Time:       18:45
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"C7","Capacitor 0.1 uF +/- 5% 16 V 0402","TopLayer","CAPC1005X56X25LL10T15","108.0000","75.8000","90","Chip Capacitor, 0.1 uF, +/- 5%, 16 V, 0402 (1005 Metric)"
"C3","Capacitor 10µF +/-20% 10V 0603","TopLayer","CAPC0603(1608)100_L","96.8485","74.9805","90","Chip Capacitor, 10µF +/-20%, 10V, 0603, Thickness 1 mm"
"C9","Capacitor 10µF +/-20% 10V 0603","TopLayer","CAPC0603(1608)100_L","104.8763","66.8674","180","Chip Capacitor, 10µF +/-20%, 10V, 0603, Thickness 1 mm"
"Y1","24MHz","TopLayer","EPSON-FA-128_V","95.2328","69.1967","90","Crystal, 24 MHz, +/- 10 ppm, -20 to 75 degC, 4-Pin SMD, RoHS, Tape and Reel"
"U3","MPU-6050","TopLayer","IS-QFN-24_V","94.5564","80.4420","0","3-Axis Gyroscope, Accelerometer and a Digital Motion Processor(TM) (DMP), 2.375 to 3.46 V, -40 to 85 degC, 24-Pin QFN, RoHS, Tape and Reel"
"U2","AMS1117 3V3","TopLayer","FP-ams1117-IPC_C","112.7050","63.0000","270","1A LOW DROPOUT VOLTAGE REGULATOR"
"U1","STM32F411CEU6","TopLayer","STM-UFQFPN48_L","103.4000","72.7500","0","ARM Cortex-M4 32-bit MCU+FPU, 512 KB Flash, 128 KB RAM, 36 I/Os, 48-Pin UFQFPN, -40 to 85 degC, Tray"
"R2","Resistor 10K  +/-1 % 0402 63 mW","TopLayer","RESC0402(1005)_L","100.7100","80.5820","0","Chip Resistor, 10 kOhms, +/-1 %, 63 mW, -55 to 125 degC, 0402"
"R1","Resistor 0R 0402 63 mW","TopLayer","RESC1005X40X25ML05T10","95.7408","71.0777","0","Chip Resistor, 0 Ohm, 0.063 W, -55 to 155 degC, 0402 (1005 Metric)"
"R4","Resistor 1K +/-5 % 0402 63 mW","TopLayer","RESC0402(1005)_L","108.8068","69.9021","0","Chip Resistor, 1 kOhms, +/-5 %, 63 mW, -55 to 155 degC, 0402"
"R3","Resistor 10K  +/-1 % 0402 63 mW","TopLayer","RESC0402(1005)_L","110.1500","85.0000","0","Chip Resistor, 10 kOhms, +/-1 %, 63 mW, -55 to 125 degC, 0402"
