Comment,Description,Designator,Footprint,LibRef,Quantity

"Capacitor 10 pF +/- 5% 50 V 0603","Chip Capacitor, 10 pF, +/- 5%, 50 V, 0603 (1608 Metric)","C1, C2","CAPC1608X90X40ML10T20","CMP-001-00014-6","2"
"Capacitor 10µF +/-20% 10V 0603","Chip Capacitor, 10µF +/-20%, 10V, 0603, Thickness 1 mm","C3, C9, C15, C16, C17, C18","CAPC0603(1608)100_L","CMP-001-00075-4","6"
"Capacitor 0.1 uF +/- 5% 16 V 0402","Chip Capacitor, 0.1 uF, +/- 5%, 16 V, 0402 (1005 Metric)","C4, C5, C6, C7, C8, C10, C11, C12, C13, C14","CAPC1005X56X25LL10T15","CMP-001-00001-6","10"
"LED G","LED GREEN DIFFUSED 0603 SMD","D1","FP-LG_Q396-MFG","CMP-62016-000069-1","1"
"TC2030-CTX-NL","6-Pin “No legs” TC2030 Plug-of-Nails™ Cable for use with ARM Cortex processors","J1","FP-TC2030-CTX-NL-MFG","CMP-205963-000001-1","1"
"473460001","CONN RCPT USB2.0 MICRO B SMD R/A","J2","FP-473460001-MFG","CMP-2000-05246-2","1"
"SM06B-SRSS-TB","Male Header, Pitch 1 mm, 1 x 6 Position, Height 2.95 mm, -25 to 85 degC, RoHS, Tape and Reel","J3","JST-SM06B-SRSS-TB_V","CMP-002-00060-3","1"
"BLM18AG121SN1D","Chip Ferrite Bead for General Use, 120 Ohm, 500 mA, -55 to 125 degC, 0603 (1608 Metric), RoHS, Tape and Reel","L1","MURA-BLM18-F-H1-CHIP-2_V","CMP-006-00004-3","1"
"LED_R","Chip LED 0402, Red, 0.02 A, 2.0 to 2.5 V, -40 to 80 degC, 2-Pin SMD, RoHS, Tape and Reel","LED1","QTB-QBLP595_V","CMP-007-00040-3","1"
"Resistor 0R 0402 63 mW","Chip Resistor, 0 Ohm, 0.063 W, -55 to 155 degC, 0402 (1005 Metric)","R1","RESC1005X40X25ML05T10","CMP-009-00004-5","1"
"Resistor 10K  +/-1 % 0402 63 mW","Chip Resistor, 10 kOhms, +/-1 %, 63 mW, -55 to 125 degC, 0402","R2, R3","RESC0402(1005)_L","CMP-009-00149-3","2"
"Resistor 1K +/-5 % 0402 63 mW","Chip Resistor, 1 kOhms, +/-5 %, 63 mW, -55 to 155 degC, 0402","R4, R7","RESC0402(1005)_L","CMP-009-00157-3","2"
"2K2","2K2 0.063W 5% 0402 (1005 Metric)  SMD","R5, R6","RESC0402(1005)_N","CMP-1011-00082-1","2"
"STM32F411CEU6","ARM Cortex-M4 32-bit MCU+FPU, 512 KB Flash, 128 KB RAM, 36 I/Os, 48-Pin UFQFPN, -40 to 85 degC, Tray","U1","STM-UFQFPN48_L","CMP-0243-00165-1","1"
"AMS1117 3V3","1A LOW DROPOUT VOLTAGE REGULATOR","U2","FP-ams1117-IPC_C","CMP-209535-000002-1","1"
"MPU-6050","3-Axis Gyroscope, Accelerometer and a Digital Motion Processor(TM) (DMP), 2.375 to 3.46 V, -40 to 85 degC, 24-Pin QFN, RoHS, Tape and Reel","U3","IS-QFN-24_V","CMP-1753-00002-2","1"
"24MHz","Crystal, 24 MHz, +/- 10 ppm, -20 to 75 degC, 4-Pin SMD, RoHS, Tape and Reel","Y1","EPSON-FA-128_V","CMP-003-00028-1","1"
